,team_id,cgpa,onlineCourse,completeCourse,internetspeed<,Year_1.0,Year_2.0,Year_3.0,Year_4.0,Gender_0.0,Gender_1.0,Gender_3.0,elsiLab_0.0,elsiLab_1.0,elsiLab_2.0,ssc_board_0.0,ssc_board_1.0,ssc_board_2.0,ssc_board_3.0,ssc_board_4.0,hsc_board_0.0,hsc_board_1.0,hsc_board_2.0,hsc_board_3.0,hsc_board_4.0,workstation_1.0,workstation_2.0,sub_ros_0.0,sub_ros_1.0,sub_ros_2.0,sub_ros_3.0,sub_ros_4.0,sub_ip_0.0,sub_ip_1.0,sub_ip_2.0,sub_ip_3.0,sub_ip_4.0,sub_emb_c_0.0,sub_emb_c_1.0,sub_emb_c_2.0,sub_emb_c_3.0,sub_emb_c_4.0,sub_ml_0.0,sub_ml_1.0,sub_ml_2.0,sub_ml_3.0,sub_ml_4.0,sub_ap_0.0,sub_ap_1.0,sub_ap_2.0,sub_ap_3.0,sub_ap_4.0,sub_cs_0.0,sub_cs_1.0,sub_cs_2.0,sub_cs_3.0,sub_cs_4.0,sub_mss_0.0,sub_mss_1.0,sub_mss_2.0,sub_mss_3.0,sub_mss_4.0,sub_fpga_0.0,sub_fpga_1.0,sub_fpga_2.0,sub_fpga_3.0,sub_fpga_4.0,sub_mm_0.0,sub_mm_1.0,sub_mm_2.0,sub_mm_3.0,sub_mm_4.0,sub_de_0.0,sub_de_1.0,sub_de_2.0,sub_de_3.0,sub_de_4.0,preference1_0.0,preference1_1.0,preference1_2.0,preference1_3.0,preference1_4.0,preference1_5.0,preference2_0.0,preference2_1.0,preference2_2.0,preference2_3.0,preference2_4.0,preference2_5.0,preference3_0.0,preference3_1.0,preference3_2.0,preference3_3.0,preference3_4.0,preference3_5.0,preference4_0.0,preference4_1.0,preference4_2.0,preference4_3.0,preference4_4.0,preference4_5.0,preference5_0.0,preference5_1.0,preference5_2.0,preference5_3.0,preference5_4.0,preference5_5.0,preference6_0.0,preference6_1.0,preference6_2.0,preference6_3.0,preference6_4.0,preference6_5.0,IS_eLSI_0,IS_eLSI_1,Participation_Freq_0,Participation_Freq_1,Participation_Freq_2,Participation_Freq_3,Internet_option_freq_0,Internet_option_freq_1,Internet_option_freq_2,Internet_option_freq_3,Internet_option_freq_4,Internet_option_freq_5,Department_category_0.0,Department_category_1.0,Department_category_2.0,Department_category_3.0,Ram_Avg,SingleCore_Avg,MultiCore_Avg,GeekBench(OpenCL)_Avg
160,1265,9.235,2.0,1.0,100.0,0,3,1,0,3,1,0,0,0,4,0,2,2,0,0,0,3,1,0,0,4,0,0,0,4,0,0,0,2,2,0,0,4,0,0,0,0,1,2,1,0,0,1,1,2,0,0,1,1,2,0,0,0,3,1,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,3,1,0,12.0,974.0,3359.5,42414.0
161,1266,8.845,5.75,5.25,50.0,0,0,3,1,3,1,0,0,4,0,3,1,0,0,0,3,1,0,0,0,4,0,1,2,1,0,0,2,2,0,0,0,0,1,3,0,0,2,2,0,0,0,1,2,1,0,0,2,2,0,0,0,1,1,2,0,0,4,0,0,0,0,1,3,0,0,0,1,1,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,1,3,0,0,0,4,0,0,0,0,0,0,4,0,6.0,596.5,1561.0,11942.75
162,1268,8.173333333333334,7.0,6.25,150.0,0,0,4,0,1,3,0,0,4,0,1,2,0,0,0,3,0,0,0,0,4,0,1,3,0,0,0,3,1,0,0,0,0,2,2,0,0,0,3,1,0,0,0,3,1,0,0,1,2,1,0,0,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,3,1,0,0,4.0,866.25,2913.0,6670.75
163,1269,8.543333333333335,2.5,1.75,100.0,4,0,0,0,4,0,0,0,0,4,2,1,0,0,0,2,1,0,0,0,4,0,3,1,0,0,0,2,2,0,0,0,2,1,1,0,0,4,0,0,0,0,3,0,1,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,3,0,1,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,3,1,0,0,0,2,1,1,0,7.0,1132.5,4078.25,23101.0
164,1270,9.4175,2.5,2.25,10.0,0,1,3,0,4,0,0,0,0,4,0,4,0,0,0,0,3,0,1,0,3,1,3,1,0,0,0,4,0,0,0,0,2,2,0,0,0,2,2,0,0,0,2,1,1,0,0,2,2,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,2,1,1,0,0,3,1,0,0,0,2,1,1,0,3.0,610.5,1522.5,3982.25
165,1271,9.1255,1.0,0.0,10.0,0,2,2,0,2,2,0,3,1,0,1,1,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,1,3,0,0,0,3,1,0,0,0,1,3,0,0,0,1,2,0,1,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,2,2,0,0,0,0,0,4,0,0,6.0,426.25,1202.25,3618.75
166,1272,8.94275,5.0,3.25,150.0,0,2,2,0,2,2,0,0,0,4,1,3,0,0,0,1,3,0,0,0,4,0,1,3,0,0,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,4,0,0,0,0,2,1,1,0,0,0,4,0,0,0,2,2,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,4,0,0,0,0,3,0,0,1,8.0,695.0,2074.75,13772.75
167,1273,8.777925,4.5,4.25,100.0,0,0,4,0,0,4,0,0,0,4,3,1,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,1,2,0,1,0,1,3,0,0,6.5,823.0,2084.75,4388.75
168,1274,8.2225,2.0,1.25,100.0,0,0,4,0,4,0,0,0,0,4,0,2,2,0,0,0,2,2,0,0,4,0,3,1,0,0,0,4,0,0,0,0,3,1,0,0,0,1,1,2,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,3,1,0,0,0,1,0,2,1,0,2,0,2,0,8.0,994.75,3556.0,10793.25
169,1275,7.09545,4.75,2.0,100.0,0,4,0,0,3,1,0,0,0,4,1,1,2,0,0,2,1,1,0,0,4,0,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,2,1,1,0,0,0,1,3,0,5.0,528.75,1272.75,2296.75
